downloadId,eulaCode,url,downloadEntity,entityType
367939168,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20220925_20221008_02_QA&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkxNjgsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM0LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJFJHM3FJVmVwQWR2Vk1Eb3lRdVB1TUliXC9RcUlrdTduaFwvV01rc2pcL09KOEQifQ==,LC08_CU_030008_20220925_20221008_02,QA
367939169,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20220925_20221008_02_MTL&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkxNjksImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM0LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJHMubnlcL2g4eko4VkJ2Uncuay5qRWo0SHVzNjA0NG5HNUhQcHl3T2NqaWMyIn0=,LC08_CU_030008_20220925_20221008_02,MTL
367939170,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20220925_20221008_02_SR&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkxNzAsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM0LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJGYxVVRSNXcwR1FQT2lLRThrVkRnQ2l2dVZkUm5FeXFieDU0U2dFcXpWODIifQ==,LC08_CU_030008_20220925_20221008_02,SR
367939171,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20220925_20221008_02_ST&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkxNzEsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM0LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJEtEc1FzdlMyYnRiS3phWGVrZXZtSnBrZE8xa0l0UFVYZzU4c1BNMGMwdkMifQ==,LC08_CU_030008_20220925_20221008_02,ST
367939172,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20220925_20221008_02_TOA&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkxNzIsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM0LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJHVYMFwvMW9uN3puaWtNUU41cDFlTWN6d1RjLkxqYWp2Y3FLaEJPTkl4RExCIn0=,LC08_CU_030008_20220925_20221008_02,TOA
367939173,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20220925_20221008_02_BT&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkxNzMsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM0LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJFBtTm5KR1VPeHlLampUSXR3V3VyS1Fwa09JdlwvXC9BeTBESmFnN281RWRVNiJ9,LC08_CU_030008_20220925_20221008_02,BT
367939174,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20221009_20221016_02_QA&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkxNzQsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM0LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJGlqOWQueDVPQnNXZ1QyQ25SN2c1bHdEVHlkTEFvMTZQZmM5NWpaa250RzgifQ==,LC08_CU_030008_20221009_20221016_02,QA
367939175,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20221009_20221016_02_MTL&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkxNzUsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM0LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJGd0WGd0Sm11cldLY1wvZzJvZDR1azA5M1VoSnc0SFVpR3UzQ25wZ2VPSHkwIn0=,LC08_CU_030008_20221009_20221016_02,MTL
367939176,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20221009_20221016_02_SR&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkxNzYsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM0LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJC5tMmlXdjBNMDdldGxMMFVYNllvWGJYcWk0UjJRREpqMElEeWl3M1VpT0EifQ==,LC08_CU_030008_20221009_20221016_02,SR
367939177,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20221009_20221016_02_ST&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkxNzcsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM0LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJGhETEhsZTQ1U2d2SXBFd1RWUzZQUWMwR3dSenBxRUZZOFYzOUxCY0dMSjgifQ==,LC08_CU_030008_20221009_20221016_02,ST
